from,to,year,relationship,sector,channel
ec,siebentoechter,2019,candidate,tvshow,VOX
sn,abenteuermexico,2022,host,documentation,ARD
sg,aboutyou,2020,cooperation,advertisement,
sg,aboutyou,2019,cooperation,fashion,
sg,aboutyou,2021,cooperation,fashion,
sg,aboutyou,2022,cooperation,fashion,
SH,aboutyou,2019,model,advertisement,
tda,aboutyou,,model,modeling,
lg,aboutyouaward,2017,host,event,Pro7
lg,aboutyouaward,2018,host,event,Pro7
rm,absoluteMehrheit,2013,candidate,tvshow,Pro7
dc,adidas,2021,model,modeling,
mn,adidas,2011,model,advertisement,
HN,adidasxkanyewestshow,2015,model,modeling,
HN,adoreme,,model,modeling,
CB,agnesb,,model,modeling,
rm,allegegeneinen,2018,host,tvshow,Pro7
tda,amazon,2021,model,modeling,
cz,animalproject,2022,founder,charity,
AW,annaunddieliebe,2008,actress,tvshow,Sat1
AW,annaunddieliebe,2009,actress,tvshow,Sat2
le,annettegoertz,2016,model,modeling,
lg,ANTM,2009,host,tvshow,Puls4
lg,ANTM,2010,host,tvshow,Puls5
lg,ANTM,2011,host,tvshow,Puls6
lg,ANTM,2012,host,tvshow,Puls7
HN,apmnyc,,contract,modeling,
BM,apothekerin,2013,actor,movie,
aa,armani,2018,model,modeling,
aa,armani,2018,model,advertisement,
mn,armans,2015,actor,tvshow,WDR
BM,armyofthieves,2021,actor,movie,
LH,asos,,model,modeling,
sg,asphaltgorillas,2018,actor,movie,
HN,atopmodelinnewyork,2013,actor,movie,
le,ausbildung,2020,trainee,,
rm,backstageGNTM,2012,host,tvshow,Pro7
rm,backstageGNTM,2013,host,tvshow,Pro7
jb,backwerk,2014,job,food,
jb,backwerk,2015,job,food,
jb,backwerk,2016,job,food,
jb,backwerk,2017,job,food,
jb,backwerk,2018,job,food,
jb,backwerk,2019,job,food,
jb,backwerk,2020,job,food,
jb,backwerk,2021,job,food,
jb,backwerk,2022,job,food,
CB,balmai,,model,modeling,
lwe,becomealive,2014,founder,health,
lwe,becomealive,2015,founder,health,
lwe,becomealive,2016,founder,health,
lwe,becomealive,2017,founder,health,
lwe,becomealive,2018,founder,health,
lwe,becomealive,2019,founder,health,
lwe,becomealive,2020,founder,health,
lwe,becomealive,2021,founder,health,
lwe,becomealive,2022,founder,health,
dc,behindeblueeyes,2021,actor,musicvideo,
lg,Bengio,2018,actor,musicvideo,
CB,bershka,,model,advertisement,
DM,Betreuungshilfe,,job,health,
mu,bodylondon,2022,contract,modeling,
le,bonprix,2013,model,modeling,
CB,bree,,model,advertisement,
le,breuninger,2016,model,modeling,
SH,brigitte,2019,model,modeling,
dc,buchstabenBattle,2021,candidate,tvshow,RTL
jwr,bullsmgmt,2021,contract,modeling,
jwr,bullsmgmt,2022,contract,modeling,
sn,bundesministerium,2018,ambassador,charity,
sn,bundesministerium,2019,ambassador,charity,
sn,bundesministerium,2020,ambassador,charity,
sn,bundesministerium,2021,ambassador,charity,
sn,bundesministerium,2022,ambassador,charity,
sg,butler,2016,love,,
sg,butler,2017,love,,
sg,butler,2018,love,,
sg,butler,2019,love,,
sg,butler,2020,love,,
sg,butler,2021,love,,
sg,butler,2022,love,,
sg,bvlgari,2021,model,advertisement,
rm,bwmcommunications,2012,contract,showbusiness,
rm,bwmcommunications,2013,contract,showbusiness,
rm,bwmcommunications,2014,contract,showbusiness,
rm,bwmcommunications,2015,contract,showbusiness,
rm,bwmcommunications,2016,contract,showbusiness,
rm,bwmcommunications,2017,contract,showbusiness,
rm,bwmcommunications,2018,contract,showbusiness,
rm,bwmcommunications,2019,contract,showbusiness,
rm,bwmcommunications,2020,contract,showbusiness,
rm,bwmcommunications,2021,contract,showbusiness,
rm,bwmcommunications,2022,contract,showbusiness,
sg,calvink,2015,model,advertisement,
so,calzedonia,2021,model,modeling,
mvg,campdavid,,model,modeling,
HN,campdavidandsoccx,,model,modeling,
SH,careline,2018,model,advertisement,
SH,castrofashion,2018,model,advertisement,
BM,celebrity,2007,model,modeling,
jds,celiaczerlisnki,,model,modeling,
sn,chloe,2018,ambassador,advertisement,
sn,chloe,2018,model,advertisement,
BM,christineperfektwargestern,2013,actor,tvshow,RTL
aa,citymodels,2011,contract,modeling,
aa,citymodels,2012,contract,modeling,
aa,citymodels,2013,contract,modeling,
aa,citymodels,2014,contract,modeling,
aa,citymodels,2015,contract,modeling,
aa,citymodels,2016,contract,modeling,
aa,citymodels,2017,contract,modeling,
aa,citymodels,2018,contract,modeling,
aa,citymodels,2019,contract,modeling,
aa,citymodels,2020,contract,modeling,
aa,citymodels,2021,contract,modeling,
aa,citymodels,2022,contract,modeling,
SAH,cityzeit,2017,model,modeling,
HN,cocacola,,ambassador,advertisement,
HN,cocoon,,model,modeling,
ak,cosmopolitan,2012,model,modeling,
BM,cosmopolitan,2008,model,modeling,
CB,cosmopolitan,,model,modeling,
HN,cosmopolitan,,model,modeling,
jb,cosmopolitan,2011,model,modeling,
jb,cosmopolitan,2012,model,modeling,
kh,cosmopolitan,2016,model,modeling,
LH,cosmopolitan,2012,model,modeling,
sg,cosmopolitan,2014,model,modeling,
ap,cro,2017,actor,musicvideo,
ap,cro,2017,love,,
CB,cruisearoundtheworld,2020,model,modeling,
BM,cunda,2007,ambassador,advertisement,
jds,cunda,,ambassador,advertisement,
jh,cunda,2008,model,modeling,
sn,cunda,2010,model,advertisement,
tda,danielwellington,,model,modeling,
lg,dasdingdesjahres,2018,jury,tvshow,Pro7
lg,dasdingdesjahres,2019,jury,tvshow,Pro7
lg,dasdingdesjahres,2020,jury,tvshow,Pro7
rm,dasDuellumdieGeld,2016,candidate,tvshow,Pro7
rm,dasgrossepromibacken,2020,candidate,tvshow,Sat1
AW,dasperfektepromidinner,2009,candidate,tvshow,VOX
lg,dasverlorenedorf,2017,voice actor,movie,
BM,deinwegzumgluecksgewicht,2015,author,literature,
