id,name,name_short,type,birth year,sex,hair,skin,place of birth,nationality,ethnicity,follower_insta,follower_tiktok,market_cap,season_gntm,place_gntm
siebentoechter,7 Toechter,,tv,,,,,,,,,,,,
aa,Alisar Ailabouni,Alisar Ailabouni,model,1989,female,brown,medium,damaskus,austrian,syrian,26,206,,5,1
abenteuermexiko,Sara Nuru Abenteuer Mexico,abenteuermexiko,tv,,,,,,,,,,,,
aboutyou,About You,,cooperation,,,,,,,,,,,,
aboutyouaward,About You Award,,event,,,,,,,,,,,,
absoluteMehrheit,Absoulute Mehrheit,,tv,,,,,,,,,,,,
adidas,Adidas,,cooperation,,,,,,,,,,,,
adidasxkanyewestshow,Adidas X Kanye West Show,,fashionshow,,,,,,,,,,,,
adoreme,Adoreme,,fashionshow,,,,,,,,,,,,
agnesb,Agnes B,,cooperation,,,,,,,,,,,,
ak,Amelie Klever,,model,1994,female,blond,light,hilden,german,germany,161,,,6,3
allegegeneinen,Alle gegen einen,,tv,,,,,,,,,,,,
amazon,amazon,,cooperation,,,,,,,,,,,,
amp,Alex Mariah Peter,Alex Peter,model,1997,female,brown,light,koeln,Korean,Korea,309,95600,,16,1
animalproject,Animal Project Crew,animalproject,nonprofit,,,,,,,,,,,,
annaunddieliebe,Anna und die Liebe,,tv,,,,,,,,,,,,
annettegoertz,Annette Goertz,,cooperation,,,,,,,,,,,,
ANTM,Austrias Next Topmodel,ANTM,tv,,,,,,,,,,,,
ap,Anuthida Ploypetch,,model,1997,female,black,medium,bangkok,thai,thai,395,,,10,2
apmnyc,APM New York,,agency,,,,,,,,,,,,
apothekerin,Apothekerin,,tv,,,,,,,,,,,,
armani,Emperio Armani,Armani,cooperation,,,,,,,,,,,,
armans,Armans Geheimnis,armans,movie,,,,,,,,,,,,
armyofthieves,Army of thieves,,tv,,,,,,,,,,,,
as,Ajsa Selimovic,Ajsa Movic,model,1997,female,brown,light,muehlviertel,austrian,,49,,,10,3
asos,asos,,cooperation,,,,,,,,,,,,
asphaltgorillas,asphaltgorillas,asphaltgorillas,movie,,,,,,,,,,,,
atopmodelinnewyork,A Topmodel in New York,,tv,,,,,,,,,,,,
ausbildung,Ausbildung,,education,,,,,,,,,,,,
AW,Anne-Kathrin Wendler,Anni Wendler,actress,1985,female,blonde,light,schwerin,german,german,2,,,2,
backstageGNTM,Backstage Germanys next Topmodel,,tv,,,,,,,,,,,,
backwerk,Backwerk,,job,,,,,,,,,,,,
balmai,Balmai,,cooperation,,,,,,,,,,,,
becomealive,becomealive,,brand,,,,,,,,,,,,
behindeblueeyes,Behinde Blue eyes,,musicion,,,,,,,,,,,,
Bengio,Bengio,,musician,,,,,,,,,,,,
bershka,Bershka,,cooperation,,,,,,,,,,,,
Betreuungshilfe,Betreuungshilfe,,job,,,,,,,,,,,,
BM,Barbara Meier,Barbara Meier,model,1986,female,orange,light,amberg,german,german,"0,1","0,2",,2,
bodylondon,Body London,,agency,,,,,,,,,,,,
bonprix,Bon Prix,,cooperation,,,,,,,,,,,,
bree,Bree,,cooperation,,,,,,,,,,,,
breuninger,Breuninger,,cooperation,,,,,,,,,,,,
brigitte,Brigitte,,magazine,,,,,,,,,,,,
buchstabenBattle,Buchstaben Battle,,tv,,,,,,,,,,,,
bullsmgmt,Bulls Management,,agency,,,,,,,,,,,,
bundesministerium,Bundesministerium für wirtschaftliche Zusammenarbeit,bundesministerium,nonprofit,,,,,,,,,,,,
butler,Marcus Butler,butler,partner,1991,male,,,,english,,4200,32.1,,,
bvlgari,bvlgari,bvlgari,cooperation,,,,,,,,,,,,
bwmcommunications,BWM Communications,BWMCom,agency,,,,,,,,,,,,
calvink,calvin klein,calvink,cooperation,,,,,,,,,,,,
calzedonia,Calzedoina,,agency,,,,,,,,,,,,
campdavid,Camp David,,cooperation,,,,,,,,,,,,
campdavidandsoccx,Camp David and soccx,,fashionshow,,,,,,,,,,,,
careline,Careline,,cooperation,,,,,,,,,,,,
castrofashion,Castro Fashion,,cooperation,,,,,,,,,,,,
CB,Céline Bethmann,Céline Bethmann,model,1998,female,brown,light,koblenz,german,german,381,245,,12,1
celebrity,Celebrity,,magazine,,,,,,,,,,,,
celiaczerlisnki,Celiaczerlisnki,,cooperation,,,,,,,,,,,,
chloe,Chloe,chloe,cooperation,,,,,,,,,,,,
christineperfektwargestern,Christine perfekt war gestern,,tv,,,,,,,,,,,,
citymodels,City Models Paris,City models,agency,,,,,,,,,,,,
cityzeit,City Zeit,,magazine,,,,,,,,,,,,
cl,Christina Leibold,,model,1992,female,brown,light,volkachfahr,german,german,,,,3,3
cocacola,Coca Cola,,cooperation,,,,,,,,,,,,
cocoon,Cocoon,,magazine,,,,,,,,,,,,
cosmopolitan,Cosmopolitan,,magazine,,,,,,,,,,,,
cro,Rapper Cro,Cro,musician,1990,,,,mutlagen,,,856,,,,
cruisearoundtheworld,Cruise around the world,,cooperation,,,,,,,,,,,,
cunda,C&A,,cooperation,,,,,,,,,,,,
cz,Caecilia Zimmer,cz,model,2000,female,black,light,freiburg,german,italien,106,,,14,3
danielwellington,Daniel Wellington,,cooperation,,,,,,,,,,,,
dasdingdesjahres,Das Ding des Jahres,,tv,,,,,,,,,,,,
dasDuellumdieGeld,Das Duell um die Geld,,tv,,,,,,,,,,,,
dasgrossepromibacken,Das große Promibacken,Promibacken,tv,,,,,,,,,,,,
dasperfektepromidinner,Das perfekte Promi Dinner,,tv,,,,,,,,,,,,
dasverlorenedorf,Die Schlümpfe - das verlorene Dorf,Die Schlümpfe,movie,,,,,,,,,,,,
dc,Dascha Carriero,Dascha Carriero,model,2000,female,blond,light,solingen,Ukranien,Ukrain,169,156,,16,2
deinwegzumgluecksgewicht,Dein Weg zum Glueckgewicht,,literature,,,,,,,,,,,,
deralte,Der Alte,,tv,,,,,,,,,,,,
deronkelthehawk,Der Onkel the hawk,,tv,,,,,,,,,,,,
derstaatsanwalt,Der Staatsanwalt,,tv,,,,,,,,,,,,
deutschemuseen,Deutsche Museen,,cooperation,,,,,,,,,,,,
deutschlandtanzt,Deutschland tanzt,,tv,,,,,,,,,,,,
dickeliebe,Dicke Liebe,,movie,,,,,,,,,,,,
diealm,DieAlm,,tv,,,,,,,,,,,,
